0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0
30,0.058716,0.063618,0.053628,0.049095,0.076327,0.074573,0.061514,0.043904,0.062438,0.04777,0.063226,0.06104,0.057457,0.064477,0.055574,0.057613,0.059784,0.043655,0.05622,0.059953,0.061082,0.052978,0.059566,0.053971,0.062049,0.063033,0.064708,0.057085,0.060061,0.070382,0.068915,0.15571,0.012442,0.010404,0.0078436,0.014039,0.013473,0.01079,0.02534,0.035438,0.018703,0.029427,0.01265,0.015748,0.010638,0.029612,0.015048,0.016027,0.039217,0.015839,0.014965,0.015625,0.01279,0.012904,0.041429,0.015207,0.043673
60,0.086707,0.087692,0.075091,0.072232,0.10783,0.10946,0.08523,0.072194,0.086109,0.072998,0.089072,0.09279,0.079903,0.094382,0.080876,0.087549,0.081808,0.065079,0.081438,0.077234,0.088612,0.069778,0.087834,0.075194,0.088251,0.085501,0.088683,0.080212,0.10014,0.10539,0.091757,0.21322,0.017853,0.01436,0.010707,0.017616,0.017702,0.014256,0.030334,0.041914,0.027211,0.045463,0.016518,0.018979,0.013038,0.036372,0.017345,0.020881,0.059729,0.022089,0.019206,0.026137,0.018031,0.017683,0.065381,0.020937,0.061964
90,0.093995,0.094453,0.078017,0.088597,0.10995,0.11625,0.083974,0.093921,0.093031,0.095869,0.091999,0.099935,0.083957,0.098052,0.086583,0.096667,0.082365,0.083095,0.089496,0.081323,0.089327,0.072729,0.093077,0.080643,0.089555,0.086395,0.087134,0.086592,0.11597,0.10706,0.088959,0.2503,0.020824,0.017104,0.014125,0.021765,0.018914,0.01779,0.038002,0.055993,0.036459,0.058025,0.019567,0.023611,0.017482,0.043026,0.021939,0.026803,0.079544,0.028482,0.024505,0.035904,0.021855,0.023731,0.073274,0.025113,0.068806
120,0.12145,0.11197,0.097749,0.10759,0.13422,0.14467,0.1031,0.11407,0.11249,0.11459,0.11062,0.12006,0.1008,0.12616,0.10566,0.12022,0.10193,0.10148,0.11636,0.10493,0.10733,0.089343,0.11094,0.10071,0.10703,0.10137,0.11097,0.10644,0.1329,0.13376,0.10806,0.27244,0.026089,0.019603,0.016546,0.025094,0.023295,0.022349,0.043202,0.067256,0.04524,0.066359,0.023052,0.028145,0.020383,0.04454,0.027167,0.034606,0.093448,0.033342,0.028512,0.041482,0.024862,0.030127,0.095136,0.029516,0.083228
150,0.14549,0.13189,0.11535,0.12248,0.15633,0.1683,0.12034,0.12954,0.1273,0.1382,0.1287,0.14635,0.12214,0.15075,0.12531,0.14713,0.11764,0.11982,0.13946,0.1218,0.12434,0.10183,0.1314,0.11304,0.13137,0.117,0.12683,0.12846,0.15697,0.15884,0.12224,0.27578,0.030011,0.020723,0.017464,0.026418,0.026215,0.02404,0.049859,0.07338,0.051477,0.072018,0.024512,0.02952,0.021383,0.052366,0.027024,0.038604,0.10381,0.033822,0.027949,0.044313,0.024586,0.034453,0.11037,0.032403,0.095699
180,0.18287,0.17052,0.14788,0.16096,0.20801,0.21025,0.15679,0.1708,0.16344,0.17179,0.16344,0.17838,0.15779,0.18619,0.1609,0.18777,0.14927,0.15462,0.17711,0.16072,0.1527,0.13529,0.16707,0.14103,0.16265,0.15329,0.15985,0.16532,0.19669,0.19793,0.1594,0.31504,0.033806,0.022388,0.020294,0.030113,0.026726,0.029241,0.05605,0.093311,0.062956,0.072097,0.028171,0.032871,0.023122,0.056087,0.032765,0.042673,0.11178,0.039364,0.029254,0.046817,0.026243,0.040224,0.12919,0.035325,0.11869
210,0.19373,0.17824,0.1546,0.16916,0.20605,0.21707,0.16259,0.1767,0.17195,0.17988,0.16879,0.18965,0.16583,0.20055,0.17637,0.20705,0.15838,0.16231,0.19387,0.17111,0.1554,0.14198,0.17777,0.1453,0.17248,0.16186,0.16921,0.17818,0.21731,0.20615,0.16294,0.30822,0.037527,0.0243,0.022063,0.031702,0.026603,0.033338,0.05782,0.10335,0.071657,0.087036,0.029668,0.033994,0.024208,0.063535,0.035527,0.047812,0.11541,0.043773,0.032182,0.050656,0.02814,0.042906,0.13852,0.036628,0.12534
240,0.20752,0.18682,0.15975,0.17244,0.21454,0.23067,0.17087,0.18026,0.18083,0.19162,0.17325,0.1958,0.18105,0.21372,0.19444,0.2219,0.16587,0.17554,0.20922,0.18826,0.1596,0.15231,0.18905,0.14673,0.18745,0.16527,0.1841,0.18977,0.23253,0.21096,0.16814,0.34511,0.039582,0.02532,0.023725,0.033835,0.029051,0.037727,0.065299,0.11411,0.077657,0.088638,0.032688,0.034336,0.024905,0.069314,0.039536,0.054598,0.12717,0.046729,0.032042,0.056725,0.030763,0.04595,0,0.041585,0.13303
270,0.22444,0.19772,0.16914,0.17082,0.23406,0.23943,0.18441,0.1873,0.19294,0.19212,0.18812,0.208,0.20346,0.22495,0.20699,0.23949,0.17452,0.18991,0.22108,0.19921,0.16756,0.16672,0.2004,0.15508,0.19634,0.17532,0.1941,0.20117,0.24726,0.21809,0.18017,0.36042,0.038319,0.025416,0.024284,0.031785,0.030267,0.040926,0.069341,0.11126,0.075789,0.096838,0.034811,0.036237,0.025821,0.07176,0.046203,0.056176,0.14544,0.051052,0.03656,0.058969,0.03343,0.04757,0,0.043829,0.14078
300,0.233,0.20316,0.17884,0.17577,0.23866,0.24806,0.19128,0.19505,0.20017,0.19503,0.201,0.21988,0.2165,0.24072,0.21983,0.26411,0.18366,0.20552,0.23749,0.21673,0.17764,0.18135,0.20656,0.16032,0.20354,0.18948,0.19976,0.21482,0.26314,0.22276,0.18734,0.38064,0.037621,0.025413,0.02375,0.030335,0.029825,0.043042,0.070883,0.11114,0.070191,0,0.035882,0.036873,0.026549,0.074332,0.048298,0.061277,0.15906,0.0489,0.038436,0.06074,0.034874,0.048345,0,0.046994,0.14842
330,0.23684,0.21489,0.18733,0.18023,0.23872,0.26712,0.20308,0.20122,0.20914,0.20299,0.20707,0.23012,0.22312,0.25388,0.23152,0.27513,0.19242,0.21438,0.25041,0.22903,0.18676,0.18907,0.22142,0.16777,0.21513,0.19909,0.2183,0.22834,0.27599,0.23365,0.20082,0.39315,0.039211,0.027071,0.02498,0.031802,0.029801,0.046802,0.072526,0.1068,0.069305,0,0.038826,0.03885,0.028971,0.077147,0.053517,0.068944,0.16477,0.051596,0.039987,0.062527,0.038138,0.051701,0,0.052481,0.15544
360,0.24297,0.22042,0.1944,0.17744,0.23368,0.25947,0.20955,0.20101,0.21398,0.21446,0.21199,0.2331,0.23226,0.26156,0.23649,0.28106,0.19807,0.21734,0.2561,0.23674,0.1951,0.19193,0.23115,0.17619,0.22082,0.20572,0.22489,0.2317,0.28468,0.24029,0.20563,0.36959,0.036902,0.027196,0.024699,0.03216,0.029522,0.048715,0.075038,0.1001,0.068565,0,0.039255,0.04,0.029216,0.083516,0.05731,0.071932,0.1764,0.053438,0.043894,0.064074,0.040449,0.052762,0,0.054632,0.15851
390,0.25012,0.22787,0.20188,0.18345,0.23016,0.26025,0.21592,0.20938,0.21635,0.21575,0.21756,0.23345,0.23553,0.26718,0.24637,0.28966,0.20425,0.221,0.26552,0.25172,0.20002,0.19423,0.23985,0.18533,0.22441,0.21706,0.2299,0.23826,0.29664,0.24814,0.2113,0.38767,0.034958,0.026565,0.023994,0.032504,0.028672,0.050618,0.075257,0,0.071789,0,0.040984,0.039854,0.029875,0.090171,0.059904,0.076744,0.18376,0.054659,0.04383,0.062936,0.041651,0.053973,0,0.056791,0.16407
420,0.25243,0.24279,0.21049,0.19021,0.2343,0.25988,0.22008,0.21565,0.23112,0.21922,0.22483,0.2385,0.24223,0.28124,0.25183,0.29552,0.21557,0.22505,0.27568,0.26013,0.20484,0.20468,0.24734,0.19513,0.23334,0.23055,0.23602,0.24975,0.30861,0.25781,0.21824,0.37804,0.034927,0.026105,0.024044,0.030124,0.028685,0.054638,0.072895,0,0.065047,0,0.042273,0.039764,0.030575,0.089736,0.066374,0.081318,0.19434,0.056839,0.04509,0.061924,0.043147,0.055309,0,0.058492,0.16892
450,0.25624,0.25456,0.21759,0.19187,0.23718,0.24802,0.22673,0.21414,0.23626,0.2217,0.23124,0.2402,0.24569,0.27766,0.25895,0.29771,0.22468,0.23129,0.28084,0.26795,0.21303,0.21418,0.25666,0.20138,0.23863,0.24161,0.24748,0.25829,0.33102,0.27011,0.22201,0.38309,0.032919,0.026646,0.024437,0.029557,0.028038,0.056934,0.072738,0,0.061373,0,0.043804,0.039677,0.029812,0.094641,0.06731,0.084843,0.20155,0.056856,0.048367,0.061378,0.044585,0.056219,0,0.059634,0.17282
480,0.26371,0.27126,0.22967,0.19995,0.24435,0.24412,0.23029,0.21517,0.23943,0.23201,0.23186,0.23814,0.24942,0.28321,0.26494,0.2942,0.23307,0.23535,0.28703,0.2779,0.21951,0.20947,0.26984,0.20941,0.24746,0.25343,0.25825,0.26849,0.34884,0.29076,0.2306,0.37673,0.035531,0.027439,0.027008,0.028184,0.02919,0.0575,0.075741,0,0.059649,0,0.045378,0.040564,0.030565,0.10072,0.072845,0.088527,0.20466,0.058595,0.050587,0.064233,0.04804,0.055987,0,0.06145,0.17755
