0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0
30,0.012442,0.010404,0.0078436,0.014039,0.013473,0.01079,0.02534,0.035438,0.018703,0.029427,0.01265,0.015748,0.010638,0.029612,0.015048,0.016027,0.039217,0.015839,0.014965,0.015625,0.01279,0.012904,0.041429,0.015207,0.018567
60,0.017853,0.01436,0.010707,0.017616,0.017702,0.014256,0.030334,0.041914,0.027211,0.045463,0.016518,0.018979,0.013038,0.036372,0.017345,0.020881,0.059729,0.022089,0.019206,0.026137,0.018031,0.017683,0.065381,0.020937,0.025406
90,0.020824,0.017104,0.014125,0.021765,0.018914,0.01779,0.038002,0.055993,0.036459,0.058025,0.019567,0.023611,0.017482,0.043026,0.021939,0.026803,0.079544,0.028482,0.024505,0.035904,0.021855,0.023731,0.073274,0.025113,0.031827
120,0.026089,0.019603,0.016546,0.025094,0.023295,0.022349,0.043202,0.067256,0.04524,0.066359,0.023052,0.028145,0.020383,0.04454,0.027167,0.034606,0.093448,0.033342,0.028512,0.041482,0.024862,0.030127,0.095136,0.029516,0.03789
150,0.030011,0.020723,0.017464,0.026418,0.026215,0.02404,0.049859,0.07338,0.051477,0.072018,0.024512,0.02952,0.021383,0.052366,0.027024,0.038604,0.10381,0.033822,0.027949,0.044313,0.024586,0.034453,0.11037,0.032403,0.04153
180,0.033806,0.022388,0.020294,0.030113,0.026726,0.029241,0.05605,0.093311,0.062956,0.072097,0.028171,0.032871,0.023122,0.056087,0.032765,0.042673,0.11178,0.039364,0.029254,0.046817,0.026243,0.040224,0.12919,0.035325,0.046703
210,0.037527,0.0243,0.022063,0.031702,0.026603,0.033338,0.05782,0.10335,0.071657,0.087036,0.029668,0.033994,0.024208,0.063535,0.035527,0.047812,0.11541,0.043773,0.032182,0.050656,0.02814,0.042906,0.13852,0.036628,0.050765
240,0.039582,0.02532,0.023725,0.033835,0.029051,0.037727,0.065299,0.11411,0.077657,0.088638,0.032688,0.034336,0.024905,0.069314,0.039536,0.054598,0.12717,0.046729,0.032042,0.056725,0.030763,0.04595,0,0.041585,0.050926
270,0.038319,0.025416,0.024284,0.031785,0.030267,0.040926,0.069341,0.11126,0.075789,0.096838,0.034811,0.036237,0.025821,0.07176,0.046203,0.056176,0.14544,0.051052,0.03656,0.058969,0.03343,0.04757,0,0.043829,0.053569
