Position [um],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],1E+13,10000000006,1E+13,1E+13,10000000026,1E+13,1E+13,10000000036,1E+13,1E+13,10000000046,1E+13,1E+13,10000000056,1E+13,1E+13,10000000076,1E+13,1E+13,10000000086,1E+13,1E+13,10000000096,1E+13,1E+13,10000000106,1E+13,1E+13,10000000116,1E+13,1E+13,10000000126,1E+13,1E+13,10000000136,1E+13,1E+13,10000000146,1E+13,1E+13,10000000156,1E+13,1E+13,10000000166,1E+13,1E+13,10000000176,1E+13,1E+13,10000000186,1E+13,1E+13,10000000196,1E+13,1E+13,10000000206,1E+13,1E+13,10000000216,1E+13,1E+13,10000000226,1E+13,1E+13,10000000236,1E+13,1E+13,10000000246,1E+13,1E+13,10000000266,1E+13,1E+13,10000000276,1E+13,1E+13,10000000286,1E+13,1E+13,10000000296,1E+13,1E+13,10000000306,1E+13,1E+13,10000000316,1E+13,1E+13,10000000326,1E+13,1E+13,10000000336,1E+13,1E+13,10000000346,1E+13
270,2834.305,7.405,7146.596,2841.313,6.03,7148.014,2838.068,7.282,7148.214,2834.167,5.859,7150.2,2839.365,6.643,7150.442,2835.531,8.684,7151.419,2842.945,5.129,7151.542,2841.577,5.462,7151.746,2836.256,5.514,7152.503,2838.996,6.933,7153.07,2843.291,5.852,7153.196,2831.583,6.025,7153.458,2840.832,7.068,7154.559,2831.727,5.86,7154.857,2834.79,8.502,7154.814,2833.301,7.531,7155.907,2839.182,5.766,7156.057,2837.449,7.495,7156.497,2834.842,7.459,7156.731,2836.835,9.11,7157.195,2839.502,5.809,7157.461,2837.336,6.97,7157.718,2839.268,7.821,7157.984,2843.388,6.402,7158.346,2831.566,5.42,7160.079,2841.378,7.311,7161.538,2837.912,5.025,7162.74,2836.668,6.95,7163.341,2839.812,7.942,7163.445,2841.669,5.853,7164.108,2834.406,5.763,7156.602,2838.445,7.125,7162.667
300,2834.292,7.394,7146.583,2841.305,6.002,7148.011,2838.129,7.166,7148.135,2834.171,5.694,7150.118,2839.376,6.607,7150.527,2835.519,8.611,7151.41,2842.953,5.058,7151.489,2841.627,5.371,7151.753,2836.29,5.424,7152.517,2838.969,6.705,7152.981,2843.332,5.721,7153.153,2831.629,5.96,7153.342,2840.877,7.054,7154.531,2831.741,5.883,7154.899,2834.749,8.458,7154.842,2833.307,7.514,7155.862,2839.227,5.718,7156.013,2837.463,7.446,7156.512,2834.824,7.394,7156.737,2836.826,9.097,7157.204,2839.549,5.686,7157.338,2837.399,6.978,7157.687,2839.313,7.675,7157.938,2843.407,6.162,7158.277,2831.554,5.312,7160.07,2841.376,7.252,7161.559,2837.958,4.922,7162.739,2836.698,6.889,7163.354,2839.851,7.915,7163.418,2841.767,5.651,7163.98,2834.463,5.502,7156.479,2838.78,7.395,7162.488
330,2834.355,7.292,7146.499,2841.309,5.985,7148.026,2838.057,7.129,7148.129,2834.136,5.63,7150.11,2839.343,6.604,7150.496,2835.488,8.679,7151.39,2842.971,5.047,7151.516,2841.596,5.379,7151.729,2836.26,5.398,7152.499,2838.968,6.78,7153.012,2843.279,5.769,7153.166,2831.583,5.92,7153.305,2840.882,7.031,7154.485,2831.635,5.833,7154.893,2834.795,8.442,7154.836,2833.291,7.524,7155.906,2839.205,5.669,7155.975,2837.439,7.469,7156.443,2834.784,7.402,7156.677,2836.842,9.035,7157.203,2839.523,5.656,7157.339,2837.304,6.971,7157.646,2839.32,7.652,7157.903,2843.444,6.125,7158.293,2831.537,5.264,7160.06,2841.413,7.189,7161.543,2837.909,4.955,7162.76,2836.675,6.871,7163.323,2839.842,7.911,7163.382,2841.731,5.632,7164.043,2834.413,5.678,7156.576,2838.401,7.741,7162.426
360,2834.401,7.138,7146.463,2841.324,5.914,7148.024,2838.105,7.118,7148.123,2834.16,5.594,7150.058,2839.36,6.566,7150.572,2835.524,8.613,7151.354,2842.942,4.979,7151.501,2841.681,5.197,7151.604,2836.287,5.341,7152.508,2838.994,6.642,7152.973,2843.326,5.597,7153.119,2831.624,5.923,7153.247,2840.845,7.008,7154.474,2831.632,5.759,7154.9,2834.822,8.421,7154.845,2833.213,7.467,7155.873,2839.208,5.602,7155.97,2837.471,7.424,7156.376,2834.8,7.302,7156.654,2836.849,9.01,7157.194,2839.531,5.627,7157.351,2837.329,6.922,7157.663,2839.355,7.658,7157.878,2843.467,6.125,7158.27,2831.516,5.215,7159.954,2841.364,7.067,7161.567,2837.945,4.778,7162.736,2836.677,6.826,7163.353,2839.697,7.689,7163.34,2841.66,5.599,7164.016,2834.452,5.514,7156.499,2838.383,7.557,7162.575
390,2834.408,7.184,7146.472,2841.346,5.869,7148.078,2838.146,7.112,7148.122,2834.228,5.515,7150.078,2839.403,6.537,7150.518,2835.531,8.684,7151.399,2842.986,4.92,7151.556,2841.655,5.172,7151.682,2836.299,5.219,7152.446,2838.986,6.711,7153.063,2843.338,5.655,7153.149,2831.667,5.784,7153.32,2840.845,7.02,7154.517,2831.672,5.671,7154.823,2834.797,8.477,7154.784,2833.269,7.461,7155.877,2839.198,5.556,7156.014,2837.46,7.445,7156.414,2834.852,7.206,7156.641,2836.847,9.097,7157.173,2839.569,5.629,7157.365,2837.339,6.848,7157.666,2839.329,7.659,7157.889,2843.429,6.123,7158.285,2831.523,5.106,7159.979,2841.36,7.121,7161.531,2837.911,4.861,7162.71,2836.648,6.716,7163.292,2839.693,7.654,7163.365,2841.706,5.578,7164.023,2834.416,5.493,7156.53,2838.463,7.19,7163.018
420,2834.305,7.044,7146.527,2841.255,5.682,7148.027,2838.02,7.092,7148.128,2834.114,5.524,7150.141,2839.299,6.493,7150.531,2835.403,8.552,7151.457,2842.915,4.962,7151.541,2841.56,5.219,7151.691,2836.254,5.308,7152.572,2838.857,6.608,7153.071,2843.259,5.735,7153.199,2831.616,5.852,7153.368,2840.747,7.044,7154.527,2831.631,5.827,7154.895,2834.727,8.356,7154.827,2833.14,7.436,7155.933,2839.095,5.58,7156.083,2837.375,7.377,7156.438,2834.768,7.114,7156.704,2836.732,8.994,7157.244,2839.478,5.628,7157.401,2837.276,6.865,7157.679,2839.25,7.552,7157.931,2843.306,6.126,7158.324,2831.444,5.14,7159.987,2841.268,7.122,7161.591,2837.803,4.666,7162.716,2836.605,6.543,7163.386,2839.732,7.647,7163.427,2841.657,5.521,7164.042,2834.354,5.49,7156.579,2838.225,7.116,7162.958
450,2834.296,7.095,7146.529,2841.258,5.653,7148.086,2838.066,7.085,7148.211,2834.053,5.601,7150.152,2839.39,6.472,7150.614,2835.397,8.569,7151.478,2842.91,4.967,7151.635,2841.586,5.173,7151.709,2836.193,5.217,7152.554,2838.89,6.657,7153.162,2843.24,5.91,7153.305,2831.562,5.795,7153.401,2840.753,7.057,7154.656,2831.604,5.625,7154.879,2834.695,8.321,7154.897,2833.101,7.464,7155.964,2839.143,5.579,7156.105,2837.421,7.5,7156.484,2834.734,7.29,7156.788,2836.722,8.967,7157.299,2839.477,5.612,7157.449,2837.277,6.957,7157.727,2839.246,7.592,7158.002,2843.307,6.213,7158.397,2831.47,5.06,7160.065,2841.198,7.158,7161.659,2837.855,4.715,7162.785,2836.593,6.626,7163.43,2839.63,7.681,7163.494,2841.648,5.598,7164.155,2834.327,5.517,7156.599,2838.27,6.878,7162.886
480,2834.324,6.976,7146.55,2841.269,5.624,7148.169,2838.072,6.998,7148.242,2834.081,5.504,7150.182,2839.381,6.41,7150.69,2835.378,8.504,7151.499,2842.947,4.828,7151.668,2841.65,5.083,7151.882,2836.249,5.132,7152.539,2838.947,6.56,7153.212,2843.351,5.639,7153.309,2831.571,5.587,7153.342,2840.788,6.9,7154.704,2831.568,5.557,7154.875,2834.705,8.082,7154.907,2833.166,7.062,7155.935,2839.164,5.529,7156.128,2837.51,7.327,7156.609,2834.751,7.033,7156.803,2836.692,8.834,7157.36,2839.512,5.527,7157.504,2837.346,6.643,7157.771,2839.282,7.604,7158.055,2843.431,6.118,7158.416,2831.54,5.02,7160.113,2841.225,7.143,7161.65,2837.899,4.711,7162.753,2836.625,6.545,7163.43,2839.655,7.586,7163.468,2841.6,5.555,7164.284,2834.33,5.476,7156.699,2838.484,6.256,7162.938
510,2834.33,6.907,7146.588,2841.225,5.571,7148.17,2838.089,6.989,7148.273,2834.073,5.461,7150.215,2839.398,6.479,7150.706,2835.366,8.489,7151.504,2842.906,4.709,7151.656,2841.55,5.068,7151.866,2836.203,5.099,7152.523,2838.967,6.558,7153.273,2843.31,5.651,7153.294,2831.605,5.54,7153.355,2840.763,6.85,7154.775,2831.605,5.512,7154.867,2834.691,8.069,7154.899,2833.181,7.066,7155.907,2839.152,5.479,7156.094,2837.423,7.256,7156.567,2834.731,7.002,7156.808,2836.684,8.814,7157.35,2839.507,5.504,7157.468,2837.343,6.66,7157.81,2839.258,7.534,7157.996,2843.39,6.109,7158.384,2831.533,4.991,7160.084,2841.213,7.044,7161.7,2837.911,4.632,7162.775,2836.607,6.508,7163.497,2839.693,7.573,7163.408,2841.633,5.525,7164.195,2834.336,5.474,7156.673,2838.46,6.617,7162.678
540,2834.391,6.927,7146.563,2841.257,5.565,7148.141,2838.114,7.014,7148.289,2834.188,5.431,7150.225,2839.404,6.454,7150.687,2835.388,8.482,7151.467,2842.998,4.811,7151.662,2841.618,5.029,7151.803,2836.3,5.092,7152.502,2839.003,6.529,7153.242,2843.377,5.629,7153.218,2831.622,5.526,7153.371,2840.786,6.786,7154.73,2831.605,5.496,7154.873,2834.72,8.126,7154.846,2833.186,7.042,7155.895,2839.19,5.502,7156.075,2837.463,7.164,7156.49,2834.771,6.999,7156.756,2836.735,8.763,7157.344,2839.59,5.515,7157.434,2837.354,6.679,7157.784,2839.317,7.489,7157.996,2843.443,6.072,7158.37,2831.536,5.032,7160.028,2841.292,7.05,7161.638,2837.95,4.67,7162.754,2836.636,6.503,7163.451,2839.78,7.517,7163.378,2841.677,5.509,7164.158,2834.385,5.465,7156.692,2838.402,6.557,7162.741
